Source,Heading,Category,Date,Time,URL
Indian Express,"A museum struggling to help Iraqis connect with 5,000 years of art",world,2019-06-09,8:59:32 pm,https://indianexpress.com/article/world/iraq-national-museum-baghdad-warka-vase-golden-lyre-of-ur-5772303/
Indian Express,Civil disobedience campaign empties streets of Sudan’s capital,world,2019-06-09,8:44:33 pm,https://indianexpress.com/article/world/civil-disobedience-campaign-empties-streets-of-sudans-capital-5772290/
Indian Express,"Pope appeals for peace, dialogue in Sudan",world,2019-06-09,5:04:05 pm,https://indianexpress.com/article/world/pope-appeals-for-peace-dialogue-in-sudan-5772151/
Indian Express,Hundreds of thousands march in Hong Kong to protest China extradition bill,world,2019-06-09,5:02:52 pm,https://indianexpress.com/article/world/hong-kong-protest-extradition-law-china-5772127/
Indian Express,"Mexico-US tariff deal: Questions, concerns for migration",world,2019-06-09,14:00:55,https://indianexpress.com/article/world/mexico-us-tariff-deal-questions-concerns-for-migration-5771936/
Indian Express,Thousands begin gathering in Hong Kong for huge rally against extradition laws,world,2019-06-09,12:07:19,https://indianexpress.com/article/world/thousands-begin-gathering-in-hong-kong-for-huge-rally-against-extradition-laws-5771755/
Indian Express,"White House tried to stop climate science testimony, documents show",world,2019-06-09,12:05:29,https://indianexpress.com/article/world/white-house-tried-to-stop-climate-science-testimony-documents-show-5771807/
Indian Express,Trump is confident Mexico will enforce new immigration deal,world,2019-06-09,10:24:17,https://indianexpress.com/article/world/trump-is-confident-mexico-will-enforce-new-immigration-deal5771732/
Indian Express,Mexico’s president diverted resources away from priorities like curbing violence to appease Mr. Trump,world,2019-06-09,09:49:21,https://indianexpress.com/article/world/mexico-us-andres-manual-lopez-obrador-president-donald-trump-5771738/
Indian Express,"95 years ago, Everest was just as deadly but much less crowded",world,2019-06-09,09:31:17,https://indianexpress.com/article/world/95-years-ago-everest-was-just-as-deadly-but-much-less-crowded-5771721/
Indian Express,"California utility to cut power to 27,000 customers to reduce wildfire risk",world,2019-06-09,08:56:03,https://indianexpress.com/article/world/california-utility-to-cut-power-to-27000-customers-to-reduce-wildfire-risk-5771719/
Indian Express,Kamala Harris says prosecutor past will help defeat Donald Trump,world,2019-06-09,08:16:55,https://indianexpress.com/article/world/kamala-harris-donald-trump-us-presidential-elections-2020-5771690/
Indian Express,Hillary Clinton: Mueller report shows obstruction occurred,world,2019-06-09,07:48:47,https://indianexpress.com/article/world/hillary-clinton-mueller-report-shows-obstruction-occurred-5771652/
Indian Express,Panic at Washington DC’s Pride Parade sends people running,world,2019-06-09,07:46:18,https://indianexpress.com/article/world/pride-parade-washington-dc-panic-sends-people-running-5771675/
Indian Express,Thousands pour into Colombia as Venezuela reopens border,world,2019-06-09,07:25:46,https://indianexpress.com/article/world/thousands-pour-into-colombia-as-venezuela-reopens-border-5771669/
Indian Express,Huge Hong Kong protest expected in last push to scrap extradition bill,world,2019-06-08,20:00:19,https://indianexpress.com/article/world/huge-hong-kong-protest-expected-in-last-push-to-scrap-extradition-bill-5771275/
